id,title,averageRating,author,language
1743,Siege and Storm,4.08,Leigh Bardugo,eng
1744,"Rødstrupe (Harry Hole, #3) ",3.94,"Jo Nesbø, Don Bartlett",eng
1745,Leviathan,3.91,Scott Westerfeld,en-US
1746,Hide and Seek,4.1,James Patterson,en-US
1747,,4.37,"Stephen Kendrick, Alex Kendrick",en-US
1748,Goodnight Nobody,3.64,Jennifer Weiner,en-US
1749,The Death and Life of Charlie St. Cloud,4.01,Ben Sherwood,eng
1750,How to Stop Worrying and Start Living,4.08,Dale Carnegie,en-GB
1751,Born in Fire ,4.21,Nora Roberts,en-US
1752,Animal Dreams,4.05,Barbara Kingsolver,eng
1753,Reason to Breathe,4.23,Rebecca Donovan,eng
1754,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,4.57,Cassandra Clare,eng
1755,If Tomorrow Comes,4.01,Sidney Sheldon,eng
1756,M.C. Escher: grafiek en tekeningen,3.93,"M.C. Escher, Bruce Brooks Pfeiffer",eng
1757,Pope Joan,4.06,Donna Woolfolk Cross,eng
1758,Birdsong,4.07,Sebastian Faulks,eng
1759,"Faith of the Fallen  (Sword of Truth, #6)",4.11,Terry Goodkind,en-US
1760,"Fablehaven: Keys to the Demon Prison (Fablehaven, #5)",4.42,Brandon Mull,eng
1761,Moonwalking with Einstein: The Art and Science of Remembering Everything,3.85,Joshua Foer,eng
1762,While I Was Gone,3.67,Sue Miller,eng
1763,"4th of July (Women's Murder Club, #4)",4.04,"James Patterson, Maxine Paetro",eng
1764,The Time Paradox,4.07,Eoin Colfer,en-US
1765,An Itchy Day,4.09,Norman Bridwell,
1766,Bitterblue,4.01,Kristin Cashore,eng
1767,The Sky Is Everywhere,4.04,Jandy Nelson,eng
1768,Wyrd Sisters,4.11,Terry Pratchett,eng
1769,Real,4.21,Katy Evans,eng
1770,NOS4A2,4.06,Joe Hill,eng
1771,The Tenant of Wildfell Hall,3.91,"Anne Brontë, Stevie Davies",eng
1772,The Black Stallion,4.18,"Walter Farley, Keith Ward",eng
1773,Reckless,4.42,S.C. Stephens,en-US
1774,The Grim Grotto,3.99,"Lemony Snicket, Brett Helquist",en-US
1775,Strega Nona,4.22,Tomie dePaola,eng
1776,Playing for Keeps,4.08,R.L. Mathewson,eng
1777,Art & Fear: Observations on the Perils (and Rewards) of Artmaking,3.67,"David Bayles, Ted Orland",eng
1778,Frida. A Biography of Frida Kahlo,3.94,Hayden Herrera,
1779,Bitten,4.06,Kelley Armstrong,eng
1780,Born at Midnight,4.13,C.C. Hunter,en-US
1781,Don't Let the Pigeon Drive the Bus,4.29,Mo Willems,eng
1782,The Dream Thieves,4.27,Maggie Stiefvater,eng
1783,The Portrait of a Lady,3.76,"Henry James, Patricia Crick",eng
1784,The Raven,4.28,"Edgar Allan Poe, Gustave Doré",
1785,The Yellow Wallpaper,4.02,Charlotte Perkins Gilman,eng
1786,Before the Fall,3.76,Noah Hawley,eng
1787,هيبتا,3.82,محمد صادق,ara
1788,The Calvin and Hobbes Tenth Anniversary Book,4.63,Bill Watterson,eng
1789,Dreamland ,3.91,Sarah Dessen,eng
1790,The Art Forger,3.69,B.A. Shapiro,en-US
1791,Austenland,3.54,Shannon Hale,en-US
1792,Half of a Yellow Sun,4.28,Chimamanda Ngozi Adichie,eng
1793,One Night @ The Call Center,2.47,Chetan Bhagat,eng
1794,At the Water's Edge,3.65,Sara Gruen,eng
1795,The Running Man,3.8,"Richard Bachman, Stephen King",eng
1796,Gilead,3.84,Marilynne Robinson,en-US
1797,The Crying of Lot 49,3.7,Thomas Pynchon,en-US
1798,Edge of Eternity,4.04,Ken Follett,eng
1799,Demonglass,4.13,Rachel Hawkins,en-US
1800,Ubik,4.1,"Philip K. Dick, David Alabort, Manuel Espín",spa
1801,The Sword of Shannara,3.76,Terry Brooks,eng
1802,Hannibal,3.72,Thomas Harris,eng
1803,The Awakening and the Struggle,3.67,L.J. Smith,en-US
1804,Three Wishes,3.76,Liane Moriarty,en-US
1805,"Night World, No. 3",4.2,L.J. Smith,en-US
1806,Fall on Your Knees,3.95,Ann-Marie MacDonald,eng
1807,The Scorpio Races,4.08,Maggie Stiefvater,eng
1808,Morning Star,4.5,Pierce Brown,eng
1809,Mossflower,4.09,Brian Jacques,en-US
1810,Furiously Happy,3.93,Jenny  Lawson,eng
1811,Visions of Sugar Plums,3.68,Janet Evanovich,en-US
1812,"Magician: Master (The Riftwar Saga, #2)",4.25,Raymond E. Feist,en-US
1813,On the Island,4.13,Tracey Garvis-Graves,eng
1814,Left Neglected,3.95,Lisa Genova,eng
1815,Anne Frank Remembered,4.26,"Miep Gies, Alison Leslie Gold",eng
1816,Redshirts,3.84,John Scalzi,en-US
1817,Sahara,3.95,Clive Cussler,spa
1818,One Foot in the Grave,4.31,Jeaniene Frost,eng
1819,The Last Anniversary,3.72,Liane Moriarty,eng
1820,Hunger ,4.02,Michael  Grant,eng
1821,Fearless Fourteen,4.02,Janet Evanovich,en-US
1822,"Revolution 2020: Love, Corruption, Ambition",3.07,Chetan Bhagat,eng
1823,A Bear Called Paddington,4.21,"Michael Bond, Peggy Fortnum",eng
1824,Flawless,3.96,Sara Shepard,en-US
1825,"Ramona Quimby, Age 8",4.08,Beverly Cleary,eng
1826,The General's Daughter,4.07,Nelson DeMille,
1827,The Hostile Hospital,3.95,"Lemony Snicket, Brett Helquist",en-GB
1828,犬夜叉 1,4.26,Rumiko Takahashi,eng
1829,The Omen,3.99,David Seltzer,en-US
1830,Blue Moon,3.61,Alyson Noel,eng
1831,The Innocent,4.1,David Baldacci,en-US
1832,Child 44,4.08,Tom Rob Smith,eng
1833,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",4.35,Nancy E. Turner,eng
1834,The Hypnotist's Love Story,3.69,Liane Moriarty,en-CA
1835,O Demônio e a Srta. Prym,3.59,"Paulo Coelho, Amanda Hopkinson, Nick Caistor",eng
1836,The Kissing Hand,4.41,"Audrey Penn, Ruth E. Harper, Nancy M. Leak",en-GB
1837,Shift,4.12,Hugh Howey,en-US
1838,Worth Dying For,4.2,Lee Child,eng
1839,Look Me in the Eye: My Life with Asperger's,3.91,John Elder Robison,en-US
1840,Fantasy Lover,4.17,Sherrilyn Kenyon,eng
1841,Sundays at Tiffany's,3.74,"James Patterson, Gabrielle Charbonnet",eng
1842,Perfect Match,3.93,Jodi Picoult,eng
1843,Prep,3.36,Curtis Sittenfeld,eng
1844,Scar Tissue,4.1,"Anthony Kiedis, Larry Sloman",eng
1845,Alias Grace,3.97,"Margaret Atwood, Brigitte Walitzek",ger
1846,Captivated by You,4.06,Sylvia Day,eng
1847,Illusions: The Adventures of a Reluctant Messiah,4.14,Richard Bach,eng
1848,Soulless,3.91,Gail Carriger,eng
1849,Just One Day,4.02,Gayle Forman,eng
1850,Wake,3.75,Lisa McMann,eng
1851,The Emperor of All Maladies: A Biography of Cancer,4.29,Siddhartha Mukherjee,eng
1852,"Glass (Crank, #2)",4.28,Ellen Hopkins,eng
1853,Memoria de mis putas tristes,3.59,"Gabriel García Márquez, Edith Grossman",eng
1854,Only Time Will Tell,4.04,Jeffrey Archer,eng
1855,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,4.07,Deepak Chopra,en-US
1856,Magical Thinking: True Stories,3.96,Augusten Burroughs,en-US
1857,In the Hand of the Goddess,4.25,Tamora Pierce,eng
1858,3rd Degree,4,"James Patterson, Andrew Gross",
1859,Bird by Bird: Some Instructions on Writing and Life,4.22,Anne Lamott,
1860,Rubinrot,4.12,"Kerstin Gier, Anthea Bell",en-US
1861,Shadowland,3.66,Alyson Noel,eng
1862,Heir to the Empire,4.12,Timothy Zahn,eng
1863,Lioness Rampant,4.28,Tamora Pierce,en-US
1864,Outbreak,3.96,Robin Cook,eng
1865,You Can Heal Your Life,4.14,Louise L. Hay,eng
1866,The Vacationers,3.14,Emma Straub,
1867,"Die Henkerstochter (Band 1 aus der Reihe ""Die Henkerstochter-Saga)",3.71,"Oliver Pötzsch, Lee Chadeayne",eng
1868,I Am Legend ,4.07,Richard Matheson,eng
1869,Dealing with Dragons,4.14,"Patricia C. Wrede, Peter de Sève",en-US
1870,The Visitor,4.08,Lee Child,en-US
1871,Rules Of Prey,4.13,John Sandford,en-US
1872,Ashes to Ashes,4.03,Tami Hoag,eng
1873,The Yiddish Policemen's Union,3.69,Michael Chabon,eng
1874,The Aviator's Wife,3.87,Melanie Benjamin,en-US
1875,A Bad Case of Stripes,4.24,David Shannon,eng
1876,The Affair,4.11,Lee Child,eng
1877,The Elements of Style,4.19,"William Strunk Jr., E.B. White",en-US
1878,The Turn of the Screw,3.45,Henry James,eng
1879,Best Friends Forever,3.48,Jennifer Weiner,eng
1880,Homeland,4.27,R.A. Salvatore,eng
1881,The Mote in God's Eye,4.06,"Larry Niven, Jerry Pournelle",eng
1882,Snømannen (Harry Hole #7) ,4.04,"Jo Nesbø, Don Bartlett",eng
1883,Stoner,4.28,"John  Williams, John McGahern",eng
1884,"Wicked: The Grimmerie, a Behind-the-Scenes Look at the Hit Broadway Musical",4.17,"David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman",en-US
1885,As You Like It,3.83,William Shakespeare,eng
1886,Preacher Vol. 1: Gone to Texas,4.16,"Garth Ennis, Steve Dillon, Joe R. Lansdale",eng
1887,Cyrano de Bergerac,4.05,"Edmond Rostand, Eteel Lawson, Lowell Bair",eng
1888,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",4.14,Anne Fadiman,en-US
1889,Bone Crossed,4.34,Patricia Briggs,en-GB
1890,The Indigo Spell,4.41,Richelle Mead,eng
1891,Dreamfever,4.43,Karen Marie Moning,en-US
1892,Case Histories,3.82,Kate Atkinson,eng
1893,"Release Me (Stark Trilogy, #1)",4.14,J. Kenner,eng
1894,Wedding Night,3.4,Sophie Kinsella,eng
1895,The Doll's House,4.44,"Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker",eng
1896,Pollyanna,3.95,Eleanor H. Porter,eng
1897,,4.08,Dave Pelzer,eng
1898,Dust,4.26,Hugh Howey,eng
1899,Lone Wolf,3.67,Jodi Picoult,eng
1900,Nightmares & Dreamscapes ,3.9,Stephen King,eng
1901,Shadowfever,4.46,Karen Marie Moning,en-US
1902,The Associate,3.64,John Grisham,en-US
1903,"Son (The Giver, #4)",3.98,Lois Lowry,eng
1904,The Sandman: Overture,3.94,"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",en-US
1905,Blood Song,4.47,Anthony  Ryan,eng
1906,Rules of Attraction,4.22,Simone Elkeles,en-US
1907,The Merry Adventures of Robin Hood,4.05,Howard Pyle,eng
1908,Less Than Zero,3.58,Bret Easton Ellis,eng
1909,The Book of Negroes,4.44,Lawrence Hill,eng
1910,كِتَاب أَلْف لَيْلَة وَلَيْلَة‎‎ [kitāb ʾalf layla wa-layla],4.06,"Anonymous, Richard Francis Burton, A.S. Byatt",eng
1911,Faithful Place,3.97,Tana French,eng
1912,Euphoria,3.84,Lily King,eng
1913,Rachel's Holiday,3.93,Marian Keyes,eng
1914,The Caves of Steel,4.14,Isaac Asimov,eng
1915,"ダンス・ダンス・ダンス [Dansu, dansu, dansu]",4.03,Haruki Murakami,eng
1916,The Mouse and the Motorcycle,3.9,"Beverly Cleary, Louis Darling, Tracy Dockray",en-US
1917,The Forest of Hands and Teeth,3.59,Carrie Ryan,eng
1918,The Elfstones Of Shannara,3.96,Terry Brooks,eng
1919,Dash & Lily's Book of Dares,3.82,"Rachel Cohn, David Levithan",eng
1920,The Luminaries,3.7,Eleanor Catton,eng
1921,,4.17,"Laura Joffe Numeroff, Felicia Bond",en-US
1922,Velocity,3.85,Dean Koontz,eng
1923,Barrel Fever: Stories and Essays,3.78,David Sedaris,en-US
1924,Reaper Man,4.27,Terry Pratchett,eng
1925,Piercing the Darkness,4.3,Frank E. Peretti,eng
1926,Made to Stick: Why Some Ideas Survive and Others Die,3.97,"Chip Heath, Dan Heath",en-US
1927,Alive: The Story of the Andes Survivors,4.08,Piers Paul Read,eng
1928,On Beauty,3.68,Zadie Smith,eng
1929,Battlefield of the Mind: Winning the Battle in Your Mind,4.33,Joyce Meyer,en-US
1930,Dance Upon The Air,4.19,Nora Roberts,eng
1931,Castle of Wizardry,4.16,David Eddings,eng
1932,"Lover Avenged, part two",4.28,J.R. Ward,en-US
1933,أحببتك أكثر مما ينبغى,3.67,أثير عبدالله النشمي,ara
1934,Heat Wave,3.54,Richard Castle,en-US
1935,kindle paperwhite user's guide 2nd edition,3.72,Amazon,eng
1936,A Widow for One Year,3.74,John Irving,
1937,Out of the Silent Planet,3.92,C.S. Lewis,eng
1938,"Charlie and the Great Glass Elevator: The Further Adventures of Charlie Bucket and Willy Wonka, Chocolate-Maker Extraordinaire",3.64,"Roald Dahl, Quentin Blake",
1939,If You Give a Pig a Pancake ,4.23,"Laura Joffe Numeroff, Felicia Bond",en-US
1940,The Wasp Factory,3.85,Iain Banks,en-US
1941,Night Film,3.78,Marisha Pessl,eng
1942,,3.77,Rob Lowe,en-US
1943,Crazy Rich Asians,3.7,Kevin Kwan,eng
1944,Rebel Angels,3.98,Libba Bray,eng
1945,Bloodfever,4.3,Karen Marie Moning,eng
1946,Faefever,4.34,Karen Marie Moning,en-US
1947,My Sister's Grave,4,Robert Dugoni,eng
1948,Library of Souls ,4.15,Ransom Riggs,eng
1949,Howards End,3.95,E.M. Forster,eng
1950,Hellboy: Seed of Destruction,4.11,"Mike Mignola, John Byrne",eng
1951,The Evolution of Mara Dyer,4.33,Michelle Hodkin,eng
1952,The Sword of Summer,4.26,Rick Riordan,eng
1953,"Le Vicomte de Bragelonne, ou Dix ans plus tard",3.97,"Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel",eng
1954,The Haunting οf Hill House,3.89,"Shirley Jackson, Laura   Miller",eng
1955,The Rum Diary,3.83,Hunter S. Thompson,eng
1956,Little Town on the Prairie,4.18,"Laura Ingalls Wilder, Garth Williams",en-GB
1957,I Capture the Castle,4,Dodie Smith,eng
1958,Destined,4.04,"P.C. Cast, Kristin Cast",eng
1959,Finger Lickin' Fifteen,3.98,Janet Evanovich,en-US
1960,Women,3.89,Charles Bukowski,eng
1961,North and South,4.19,John Jakes,en-US
1962,Silver Borne,4.38,Patricia Briggs,en-US
1963,The Bourne Ultimatum,4.04,Robert Ludlum,eng
1964,Fool's Errand,4.29,Robin Hobb,eng
1965,The Young Elites,3.93,Marie Lu,eng
1966,Jewels of the Sun,4.22,Nora Roberts,en-US
1967,Τὰ εἰς ἑαυτόν ,4.2,"Marcus Aurelius, Martin Hammond, Diskin Clay",eng
1968,Peter and the Starcatchers,4.01,"Dave Barry, Ridley Pearson, Greg Call",eng
1969,Collapse: How Societies Chose to Fail or Succeed,3.92,Jared Diamond,en-GB
1970,Possession,3.88,A.S. Byatt,eng
1971,Revelations,3.89,Melissa de la Cruz,en-US
1972,Without Remorse,4.16,Tom Clancy,en-US
1973,Die Traumdeutung,3.81,Sigmund Freud,
1974,Ghost Story,3.95,Peter Straub,en-US
1975,The Penultimate Peril,4.02,"Lemony Snicket, Brett Helquist",en-US
1976,Notes from a Big Country,3.89,Bill Bryson,en-US
1977,The End,3.99,"Lemony Snicket, Brett Helquist",en-US
1978,The Liars' Club: A Memoir,3.92,Mary Karr,eng
1979,Dead Ever After,3.39,Charlaine Harris,eng
1980,The Illustrated Man,4.13,Ray Bradbury,eng
1981,Naked,4.02,Raine Miller,eng
1982,Annihilation,3.62,Jeff VanderMeer,eng
1983,Breathe,3.88,Abbi Glines,eng
1984,The Runaway Bunny,4.14,"Margaret Wise Brown, Clement Hurd",en-US
1985,The Grand Design,4,"Stephen Hawking, Leonard Mlodinow",eng
1986,The Innocent Man,3.79,John Grisham,eng
1987,The Bachman Books,4.1,"Richard Bachman, Stephen King",eng
1988,Zealot: The Life and Times of Jesus of Nazareth,3.82,Reza Aslan,eng
1989,Soul of the Fire,3.87,Terry Goodkind,eng
1990,Das Herzenhören,3.98,"Jan-Philipp Sendker, Kevin Wiliarty",eng
1991,Consider Phlebas,3.85,Iain M. Banks,eng
1992,The Magic of Thinking Big,4.19,David J. Schwartz,en-US
1993,The Vampire Armand,3.75,Anne Rice,en-US
1994,"Forever Too Far (Too Far, #3)",4.24,Abbi Glines,eng
1995,A Storm of Swords: Part 1 Steel and Snow,4.49,George R.R. Martin,eng
1996,Le avventure di Pinocchio,3.86,"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",eng
1997,Grave Mercy,3.92,Robin LaFevers,eng
1998,The Power of a Praying Wife,4.31,Stormie Omartian,
1999,Tropic of Cancer,3.71,Henry Miller,eng
2000,The Hour I First Believed,3.8,Wally Lamb,en-US
2001,Harry Potter: Film Wizardry,4.48,Brian Sibley,eng
2002,Смерть Ивана Ильича,4.04,"Leo Tolstoy, Aylmer Maude",eng
2003,Circling the Sun,3.93,Paula McLain,eng
2004,Travels with Charley: In Search of America,4.07,John Steinbeck,eng
2005,The Dovekeepers,4.02,Alice Hoffman,eng
2006,The Republic of Thieves,4.23,Scott Lynch,eng
2007,Herr der Diebe,3.95,Cornelia Funke,eng
2008,World After,4.22,Susan Ee,eng
2009,Brother Odd,3.98,Dean Koontz,eng
2010,Black Like Me,4.12,John Howard Griffin,en-US
2011,Snuff,3.18,Chuck Palahniuk,en-US
2012,Jack & Jill,3.95,James Patterson,eng
2013,Saturday,3.61,Ian McEwan,en-US
2014,When the Bough Breaks,4.02,Jonathan Kellerman,eng
2015,The Bridges of Madison County,3.51,Robert James Waller,eng
2016,Gone Tomorrow,4.17,Lee Child,eng
2017,The Sorceress,4.11,Michael Scott,eng
2018,Bring Up the Bodies,4.26,Hilary Mantel,en-US
2019,The Maze of Bones ,3.83,Rick Riordan,eng
2020,How to Cook Everything: Simple Recipes for Great Food,4.02,Mark Bittman,en-US
2021,"The Twilight Collection (Twilight, #1-3)",3.78,Stephenie Meyer,eng
2022,Über das Geistige in der Kunst,3.81,Wassily Kandinsky,eng
2023,Forrest Gump,4.06,Winston Groom,eng
2024,La Chute,4.05,"Albert Camus, Justin O'Brien",eng
2025,Even Cowgirls Get the Blues,3.74,Tom Robbins,eng
2026,The Moonstone,3.9,"Wilkie Collins, Carolyn G. Heilbrun",eng
2027,Se una notte d'inverno un viaggiatore,4.08,"Italo Calvino, William Weaver",eng
2028,Son of a Witch,3.45,"Gregory Maguire, Douglas Smith",eng
2029,On Chesil Beach,3.54,Ian McEwan,eng
2030,"""M"" is for Malice",4.07,Sue Grafton,en-GB
2031,Point of Origin,4.02,Patricia Cornwell,en-GB
2032,"Sarah, Plain and Tall",3.72,Patricia MacLachlan,eng
2033,عزازيل,4.07,يوسف زيدان,ara
2034,Bloodsucking Fiends,3.93,Christopher Moore,eng
2035,Squirrel Seeks Chipmunk: A Modest Bestiary,3.34,"David Sedaris, Ian Falconer",eng
2036,The Gifts of Imperfection,4.17,Brené Brown,eng
2037,Commonwealth,3.84,Ann Patchett,eng
2038,The Van Alen Legacy ,3.95,Melissa de la Cruz,en-US
2039,Blueberries for Sal,4.18,Robert McCloskey,eng
2040,Losing Hope,4.39,Colleen Hoover,eng
2041,Lisey's Story,3.65,Stephen King,eng
2042,Proof of Heaven: A Neurosurgeon's Journey Into the Afterlife,3.68,Eben Alexander,en-US
2043,Men at Arms,4.36,Terry Pratchett,eng
2044,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible As Literally As Possible,3.76,A.J. Jacobs,en-US
2045,God Emperor of Dune,3.81,Frank Herbert,eng
2046,,3.11,Emily Giffin,eng
2047,The Valley of Horses,3.98,Jean M. Auel,en-US
2048,Six Years,3.8,Harlan Coben,eng
2049,Ramona the Pest,4.04,Beverly Cleary,
2050,"Night World, No. 2",4.2,L.J. Smith,en-CA
2051,Geek Love,3.98,Katherine Dunn,eng
2052,,3.96,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",en-US
2053,All the King’s Men,4.08,Robert Penn Warren,eng
2054,Girls in Pants: The Third Summer of the Sisterhood,3.82,Ann Brashares,eng
2055,The Woods,4.04,Harlan Coben,eng
2056,New Spring,4.01,Robert Jordan,eng
2057,The Litigators,3.77,John Grisham,eng
2058,Min mormor hälsar och säger förlåt,4.02,"Fredrik Backman, Henning Koch",eng
2059,American Assassin,4.24,Vince Flynn,eng
2060,"Daring Greatly : How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.24,Brené Brown,
2061,Burial Rites,4.01,Hannah Kent,eng
2062,Fingersmith,4.02,Sarah Waters,eng
2063,A Year in Provence,3.94,Peter Mayle,eng
2064,The Miraculous Journey of Edward Tulane,4.34,"Kate DiCamillo, Bagram Ibatoulline",eng
2065,The Last Letter From Your Lover,3.94,Jojo Moyes,eng
2066,Gorky Park,4.04,Martin Cruz Smith,eng
2067,The House Girl,3.75,Tara Conklin,eng
2068,Out of the Dust,3.73,Karen Hesse,
2069,Queen of Babble,3.71,Meg Cabot,eng
2070,The Third Wheel,4.21,Jeff Kinney,en-US
2071,Code Name Verity,4.08,Elizabeth Wein,eng
2072," Burned (Burned, #1)",4.24,Ellen Hopkins,en-US
2073,Master of the Game,4.09,Sidney Sheldon,eng
2074,The Body Farm,4.04,Patricia Cornwell,eng
2075,The Boy Next Door (Boy #1),3.83,Meg Cabot,eng
2076,Shūtur eli sharrī,3.63,"Anonymous, N.K. Sandars",eng
2077,The Luxe,3.63,Anna Godbersen,en-US
2078,The Complete Tales of Beatrix Potter,4.36,Beatrix Potter,
2079,American Pastoral,3.91,Philip Roth,eng
2080,Big Magic: Creative Living Beyond Fear,3.9,Elizabeth Gilbert,eng
2081,Skin Game,4.55,Jim Butcher,eng
2082,القرآن‎‎ [al-Qurʾān],4.34,Anonymous,ara
2083,The Darkest Night,4.09,Gena Showalter,eng
2084,Anathem,4.18,Neal Stephenson,eng
2085,The Lacuna,3.76,Barbara Kingsolver,eng
2086,Hogfather,4.22,Terry Pratchett,eng
2087,Open House,3.68,Elizabeth Berg,eng
2088,The Silver Star,3.68,Jeannette Walls,eng
2089,The Hotel New Hampshire,3.89,John Irving,eng
2090,The Laughing Corpse,4.11,Laurell K. Hamilton,en-US
2091,"Key of Light (Key Trilogy, #1)",4.16,Nora Roberts,eng
2092,Identical,4.34,Ellen Hopkins,eng
2093,,4.52,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",en-GB
2094,Smokin' Seventeen,3.94,"Janet Evanovich, Lorelei King",eng
2095,The Sneetches and Other Stories,4.31,Dr. Seuss,en-US
2096,"Polar Bear, Polar Bear, What Do You Hear?",4.16,"Bill Martin Jr., Eric Carle",eng
2097,Demian: Die Geschichte einer Jugend,4.1,Hermann Hesse,ger
2098,"God Bless You, Mr Rosewater or Pearls before Swine",3.94,Kurt Vonnegut Jr.,eng
2099,スキップ・ビート! 1 ,4.26,"Yoshiki Nakamura, Tomo Kimura",eng
2100,The Dark Knight Returns,4.21,Frank Miller,eng
2101,Harry Potter Boxed Set Books 1-4,4.66,"J.K. Rowling, Mary GrandPré",eng
2102,The Windup Girl,3.74,Paolo Bacigalupi,eng
2103,,4.26,"Oscar Wilde, Richard Allen Cave",eng
2104,Isla and the Happily Ever After,4.1,Stephanie Perkins,eng
2105,Magic Bites,4.07,Ilona Andrews,eng
2106,This Man Confessed,4.43,Jodi Ellen Malpas,eng
2107,Suite française ,3.82,"Irène Némirovsky, Sandra Smith",
2108,The Letters of Vincent van Gogh,3.99,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",en-GB
2109,Sourcery,3.87,Terry Pratchett,en-US
2110,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",4.24,Bryan Lee O'Malley,
2111,Batman: Arkham Asylum - A Serious House on Serious Earth,4.09,"Grant Morrison, Dave McKean",eng
2112,P.S. I Still Love You,4.17,Jenny Han,eng
2113,Memory Man,4.05,David Baldacci,eng
2114,Mudbound,3.99,Hillary Jordan,eng
2115,Black Hawk Down,4.28,Mark Bowden,en-US
2116,A Darker Shade of Magic,4.07,"V.E. Schwab, Victoria Schwab",eng
2117,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,3.86,David Grann,eng
